,name,org,url,pub
171,Carla-Fabiana Chiasserini,Italian National Research Council,https://dl.acm.org/profile/81100011731,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
172,Andrea Bianco,Politecnico di Torino,https://dl.acm.org/profile/81100305196,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
173,Ioannis Stavrakakis,National and Kapodistrian University of Athens,https://dl.acm.org/profile/81100309658,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
174,Baolei Mao,Zhengzhou University,https://dl.acm.org/profile/99658655350,Quantifying Timing-Based Information Flow in Cryptographic Hardware
175,Wei Hu,Northwestern Polytechnical University,https://dl.acm.org/profile/81466642370,Quantifying Timing-Based Information Flow in Cryptographic Hardware
176,Alric Althoff,Department of Computer Science and Engineering,https://dl.acm.org/profile/99658759956,Quantifying Timing-Based Information Flow in Cryptographic Hardware
177,Janarbek Matai,Department of Computer Science and Engineering,https://dl.acm.org/profile/81460656436,Quantifying Timing-Based Information Flow in Cryptographic Hardware
178,Jason Oberg,"University of California, San Diego",https://dl.acm.org/profile/81414616009,Quantifying Timing-Based Information Flow in Cryptographic Hardware
179,Dejun Mu,Northwestern Polytechnical University,https://dl.acm.org/profile/81375600312,Quantifying Timing-Based Information Flow in Cryptographic Hardware
180,Timothy Sherwood,"University of California, Santa Barbara",https://dl.acm.org/profile/81100522468,Quantifying Timing-Based Information Flow in Cryptographic Hardware
181,Ryan Kastner,"University of California, San Diego",https://dl.acm.org/profile/81100355123,Quantifying Timing-Based Information Flow in Cryptographic Hardware
182,Benjamin W. Martin,"The University of Tennessee, Knoxville",https://dl.acm.org/profile/81501661354,Intrinsically motivated exploration via intrinsic value calculation
183,Itamar Arel,"The University of Tennessee, Knoxville",https://dl.acm.org/profile/81467645256,Intrinsically motivated exploration via intrinsic value calculation
184,Osher Yadgar,SRI International,https://dl.acm.org/profile/81100293733,Emergent ad hoc sensor network connectivity in large-scale disaster zones
